難易度,曲名　　　　　　　　　　 　　  　　  　  (ギミック),,,,,,定数,地,密,瞬,究,終,技,計,　 BPM　 (跳),,演奏時間,ひとこと
,FALSE,ワーワーワールド,,,,,29.7,6,5,5,2,3,2,23,160,,1:42.56,ほぼ3年越しに32分4打×2が24分に修正され、大幅にラクになった。ただ難しいところは結局難しい
,FALSE,"Hello,world!",,,,,29.7,7,7,3,1,3,2,23,211,,1:35.69,賛否ある曲の収録だが腐食としては初音ミクが聴けるので賛成派。配置は素直だがシンプルに速い
,FALSE,いかないで,,,,,29.7,6,7,3,3,2,2,23,191,,1:51.83,曲を知らなかった人「ゆったりした曲なんかなぁ...ってなんで視認難体力譜面飛んできてんの」
,FALSE,神のまにまに,,,,,29.7,8,5,4,3,2,1,23,135,,2:06.11,BPM135の24分や32分があまりにも乱発されている譜面。しっかり歯切れよく叩こう
,FALSE,Beat Eater,,,,,29.7,8,6,3,3,2,1,23,137,◎,1:34.60,28の中でもかなり忙しかった譜面が昇格。12分同時ラッシュや24分3鍵が脅威
,FALSE,ヴィラン,,,,,29.7,6,3,4,3,4,3,23,102,◎,2:25.88,終点を離すのが難しく、その影響でGREATが増えがち。長いのもなかなかツラいポイント
,FALSE,星空オーケストラ,,,,,29.6+,5,4,4,3,4,2,22,200,◯,1:59.40,BPM300の16分3打が3回登場する驚異の譜面。8分音符地帯はめちゃめちゃ解釈不一致...
,FALSE,快晴,,,,,29.6+,6,5,3,3,3,2,22,172,,2:26.69,見かけ上しんどそうな配置がところどころあるが、誘導はしっかりしている。1/12始点にも注意
,FALSE,ラブカ？,,,,,29.6+,5,5,5,3,2,2,22,78-135,△,1:40.75,最初のBPM変化があまりにも変則的。ハネの部分と16分の区別や難しい配置の対策を
,FALSE,Nostalogic,,,,,29.6+,6,5,4,3,2,2,22,140,,1:48.00,ラスサビが難しい。しれっと最後に24分からの両手置くのやめてもらっていいですか
,FALSE,マシュマリー,,,,,29.6+,8,6,4,1,1,2,22,182,,2:08.90,曲が神！！！！！譜面に関しては基本的に叩きやすいリズムだがピアノ12分地帯が少し難しいか
,FALSE,ニジイロストーリーズ,,,,,29.6+,6,4,4,3,2,3,22,115-230,◎,1:55.09,初手にBPM345の16分で4連打となかなかの速さを誇る配置がある上、認識難気味で難しい。元28...
,FALSE,Booo!,,,,,29.6+,7,4,5,2,3,1,22,220,◎,1:31.64,曲が短く詰めやすいのはいいものの、ところどころ29では許されない配置がある...
,FALSE,それでもいいんだよ,,,,,29.6+,7,5,5,3,1,1,22,132,,2:01.82,本当に、神曲。わかりやすめの認識難と32分音符が特徴的な譜面。できなくてもいいんだよ(？)
,FALSE,ビバハピ,,,,,29.6,6,3,5,2,3,2,21,148,,1:21.69,その短さにも関わらず現在はある程度難しい評価だが、これでも昔は28でも簡単な方だった...
,FALSE,needLe,,,,,29.6,7,4,4,2,2,2,21,190,,1:50.92,局所難傾向にあり、その部分がいちいち全部難しい。アウトロのスライド味気なく取るのが趣味です
,FALSE,カトラリー,,,,,29.6,5,4,3,3,4,2,21,108,◎,1:48.70,声ネタの部分やサビ前に16分音符が存在するハネリズム譜面。誘導のない認識難が難しい
,FALSE,ナンセンス文学,,,,,29.6,6,4,3,3,3,2,21,154,,2:06.43,とにかく付点のリズムも多く曲を熟知しないといけない上に譜面自体もクセがある
,FALSE,ロキ,,,,,29.6,6,4,5,1,3,2,21,150,,1:42.00,24分からの同時(片方フリック)にこの譜面の全ての難しさが込められてると言っても過言ではない
,FALSE,＊ハロー、プラネット。,,,,,29.6,8,5,2,2,2,2,21,150,,1:53.80,小粒ツギハギ並に多い！スライドクセ強い！指押し配置多い！まさに宇宙から来た譜面
,FALSE,Journey,,,,,29.5+,5,4,3,2,4,2,20,128,,2:42.19,フル尺なので当然長い。ロングノーツの終点をしっかり意識しよう。ラストの視認難黄色同時も注意
,FALSE,ドラマツルギー,,,,,29.5+,5,4,3,3,3,2,20,149,,1:30.00,BPM149(素数)なのにちょうど90秒っていう計算結果を吐いたせいで目に映ったものを疑った
,FALSE,メルト,,,,,29.5+,5,3,5,2,3,2,20,170,,2:57.35,最後の縦連ガチで難しすぎる。プロセカ史上最も心臓に悪いといっても過言ではない
,FALSE,天ノ弱,,,,,29.5+,6,5,3,1,3,2,20,200-205,▲,1:45.44,32をぶっちゃけ想定していたがこの難易度に落ち着いたらしい。あんまり音取られてなくて悲しい
,FALSE,モザイクロール (Reloaded),,,ソ,敷,29.5+,6,5,3,3,1,2,20,148,,1:59.80,特にラスサビ以降で真価を発揮する譜面。無の4小節ほど美しいものってないと思うんですよね
,FALSE,阿吽のビーツ,,,,,29.5+,5,4,2,4,4,1,20,103,◎,2:11.46,スライドが思ったよりサボれる。このBPMの24分縦連の多さや終点の難しさがかなり評価される
,FALSE,デビルじゃないもん,,,,ソ,29.5+,6,5,3,2,3,1,20,154,,1:56.49,最初の演出に全ての記憶を持っていかれる譜面。シンプルな4k配置やラストのリズムヤバ配置も注意
,FALSE,Flyway,,,,,29.5+,6,4,5,3,1,1,20,190,◎,2:06.32,ハネリズム練習譜面、と思いきや、ほぼ消失と同様の配置がある。同時押し意識が吉
,FALSE,ロストエンファウンド,,,,,29.5+,3,3,5,3,4,2,20,92-184,,2:25.76,BPM92最初だけかと思ったら最後に戻るんかい。短ロング地帯や最後の5鍵、全レーンフリックが難
,FALSE,88☆彡,,,,,29.5+,5,4,5,2,2,2,20,175,,2:02.57,圧倒的局所難譜面。小粒の乱打はしっかりと1拍に4打を意識。12分音符の処理には注意
,FALSE,Hello Builder,,,,,29.5,6,3,2,3,3,2,19,160,◎,1:47.88,旧レギュ譜面が本領を発揮...！12分主体で同時押し絡みも多く、他にもかなり総合力が問われる
,FALSE,月光,,,,,29.5,3,4,3,3,4,2,19,109,◎,2:34.13,曲がシャレオツすぎるのよ。しかし長い上に低速ハネリズムなので沼る人は沼る...
,FALSE,エイリアンエイリアン,,,,,29.5,4,4,3,2,3,3,19,152,,2:18.75,ナユタン星人曲特有のクセのあるスライドが多い。シンプルに長く埋めるのが面倒でもある
,FALSE,Ready Steady,,,,,29.5,4,2,4,3,2,4,19,115,,1:28.17,何気に元祖「フリック直後にタップが置いてある」譜面だったりする。意識しないと抜けていく
,FALSE,フォニイ,,,,,29.5,5,4,4,2,2,2,19,170,,2:20.12,嘘で絡まるスライド地帯はあまり動かさずとも取れる。ラストの同時押しに殺された人は数知れず...
,FALSE,Be The MUSIC!,,,,敷,29.5,5,4,5,1,2,2,19,128,△,2:30.41,エイプリルフール譜面ということで、BPM256の16分7打やスライドに被るフリックなどお祭り騒ぎ
,FALSE,白い雪のプリンセスは,,,,ソ,29.5,4,5,3,1,4,2,19,200,,2:16.05,中盤の短ホールドラッシュだけ圧倒的に難しい。ラストのロングノーツ交差ギミックは新鮮
,FALSE,ワールドイズマイン,,,,,29.5,5,3,4,2,3,2,19,100-165,,2:48.64,元27で最近まで28だった譜面がさらに昇格。今はかなり素直な譜面も増えたせいでかなり難しく見える
,FALSE,スーパーヒーロー,,,敷,交,29.5,5,4,3,2,3,2,19,132,,1:50.45,終点と合一型2始点は治った！実は16分の配置がまあまあエグかったりするので同時押しを意識しよう
,FALSE,ルカルカ★ナイトフィーバー,,,,,29.5,5,4,3,2,3,2,19,160,,2:10.31,待望の曲。素直めな配置も多いが4鍵が混じってくる場合もあるため把握をしておくこと
,FALSE,セカイはまだ始まってすらいない,,,,,29.5,5,4,4,1,3,2,19,138,,1:54.78,5鍵やフリック直後のタップなど、今思えば結構厄介。永遠の29.0だと思ってたのに出世したねぇ...
,FALSE,p.h.,,,,,29.5,5,4,3,3,2,2,19,132,,1:45.45,階段状認識難を交互押しで取る練習になる譜面。あと譜面作成者は付点16分をそろそろ学習して...
,FALSE,Leia - Remind,,,,,29.5,3,3,6,2,3,2,19,190,,2:01.11,BPM285の16分7打含むイントロが結局最大の脅威。イントロを切り抜ければまあまあラクでもある
,FALSE,アイドル新鋭隊,,,,,29.5,4,5,4,2,2,2,19,176,,1:37.84,相当前の話だけど公式の広告で男性陣でMV再生してて面白かったお話。3連フリックが難しい
,FALSE,花溺れ,,ソ,敷,交,29.4+,5,3,3,3,2,2,18,128,△,1:56.95,中盤に急に低速ハネリズム地帯が牙を剥いてくる。それ以外にも非交互配置諸々に注意
,FALSE,あったかいと,,,,,29.4+,5,4,3,2,2,2,18,178,,2:26.46,シンプルめな地力譜面。16分からの同時押しや小粒配置がちらほらといった感じ。神曲
,FALSE,リアライズ,,,,敷,29.4+,4,4,4,2,3,1,18,150,,1:29.20,地力要素が縦連に結構偏っている譜面。逆に言えば、腕を温めれば結構ラクかもしれない
,FALSE,Blue Star,,,,,29.4+,5,3,4,2,3,1,18,132,,2:23.64,最も「豹変」という言葉が似合う譜面。ラスサビだけ他と比べて圧倒的に難しく対応力が求められる
,FALSE,Miku,,,,,29.4+,5,2,3,5,2,1,18,128,,2:31.17,最難関譜面にも見られるような認識難配置が見られる。BPMが控えめなためこれで練習しておきたい
,FALSE,名も無き革命,,,,,29.4+,5,4,4,2,2,1,18,185,,1:55.46,基本的な配置が多く詰めるのに苦はなさそう。拍子がコロコロ変わるのでノりづらいところはある
,FALSE,ハオ,,,,ソ,29.4+,5,4,2,2,3,2,18,176,,1:59.66,今期のヤクザMAS枠。合一型終点が久々であることに加え、このBPMでかなりやらせてくることが多い
,FALSE,傀儡のうつつ,ソ,敷,交,多,29.4+,5,3,4,1,2,3,18,142,,1:38.03,かなり完成度の高いMAS譜面となっている。その分全ての配置を見切らなければならないのが難しい
,FALSE,如月アテンション,,,敷,多,29.4,3,4,3,1,4,2,17,190,,1:54.32,歌詞が元となった譜面がふんだんに詰め込まれており楽しい。ホールド地帯は指の腹で！！
,FALSE,天樂,,,,,29.4,4,4,2,2,2,3,17,232,,2:28.97,Bメロのトレースを活かした持ち替え配置が本当に天才。シンプルにゴリ押し力が要るので耐えよう
,FALSE,potatoになっていく,,,,,29.4,3,3,1,4,4,2,17,116,◎,1:44.91,最近のトレンドである認識難のいい練習譜面といえる。完全交互運指を推奨
,FALSE,くうになる,,,,,29.4,4,4,4,1,2,2,17,166,,1:44.46,うくになる。たまに結構難しめの16分→同時が飛んでくるような局所難譜面だが、全体的にはそこまで
,FALSE,FREELY TOMORROW,,,,,29.4,6,3,3,1,2,2,17,129,,2:11.51,腐食は苦手だがみんな得意らしい。地力地帯が複数存在し、指押しの練習にはぴったり！
,FALSE,その音が鳴るなら,,,ソ,敷,29.4,4,4,4,2,1,2,17,213,,1:44.65,BPMはなんと213。16分連打を常に身構えることと、このテンポにノるのが好成績への鍵
,FALSE,幾望の月,,,,,29.4,5,4,3,2,1,2,17,138,,2:00.87,かなりの量の24分や曲元来の変拍子が適正帯を苦しめている印象。イントロアウトロ短いので覚えよう
,FALSE,Flyer!,,,,,29.4,4,4,3,3,2,1,17,188,,1:58.40,疾走感のある楽しい曲。後半は認識難気味であるがすぐに慣れるような配置をしている
,FALSE,終焉逃避行,,,ソ,交,29.4,5,3,4,2,2,1,17,147,,1:34.69,最初の擬似停止がバリカッコいい。前半に非交互配置が詰め込まれており、そこを通して耐えるが理想
,FALSE,DAYBREAK FRONTLINE,,,,,29.4,5,5,2,3,1,1,17,136,,2:13.90,セカイVer.で一番いい音源とされている(腐食談)。地力配置が多めだがたまに認識難も
,FALSE,悪役にキスシーンを,,,,,29.4,5,3,5,2,1,1,17,124,,2:26.01,間奏地帯の難しさの比重が他に比べかなり高い。なぜ、BPMが、248じゃないのか......(腐食談)
,FALSE,まにまに,,,,,29.4,5,4,4,2,1,1,17,174,,1:47.24,序盤の不親切な黄色トレース誘導線はすぐ離そう。4kや縦連など地力配置が多め
,FALSE,Bad Apple!! feat.SEKAI,,,,ソ,29.4,5,3,5,1,1,2,17,138,,2:19.13,見た目は物理難の雰囲気があるが、BPMが控えめなおかげで意外とどうにかなる。神アレンジ
,FALSE,悪食娘コンチータ,,,,,29.3+,5,4,3,2,1,1,16,160,,1:34.69,短い上譜面の誘導がしっかりしており、悪ノシリーズ屈指の良譜面となっている
,FALSE,メリーゴーラウンド,,,敷,交,29.3+,4,3,2,2,2,3,16,116,◎,2:14.48,久々に襲来した19.2分ハネ譜面。やることこそ意外と単純なものの、それなりのプロセカ地力は必要
,FALSE,熱風,,,ソ,敷,29.3+,3,3,5,2,1,2,16,192,,1:36.25,MASTERならではのソフラン演出がとても良い。192の連打→同時は結構厄介だがこのゲームの基礎
,FALSE,レッドランドマーカー,,,,敷,29.3+,3,3,5,2,1,2,16,174,,2:01.55,必要地力の下がったONESELF。サビ前の配置には24分3打が混じっていることを意識して！
,FALSE,エンパープル,,,敷,多,29.3+,5,3,3,2,2,1,16,136,,1:47.65,多譜面地帯があまりにも神すぎて大好き(腐食談)。序盤にある24分連打など厄介な部分もしばしば
,FALSE,あいのうた,,,,ソ,29.3+,5,4,3,1,2,1,16,139,,1:59.03,最初のスライドが期待通り。中盤の24分混じりの配置がとても厄介で、他も地力は結構要る
,FALSE,アイムマイン,,,,多,29.3+,4,3,5,2,1,1,16,135,,2:32.44,Blessingの引用がマジでエモい。地味に4本ロングが同時に流れてくる配置があり、「多」の対象
,FALSE,SToRY,,,,敷,29.3+,5,4,3,2,1,1,16,192,,1:25.94,やっぱりレオニの譜面は物量。リズムが素直が故純粋なリズムキープ力が求められ、個人差が大きい
,FALSE,とても素敵な六月でした,,,,,29.3+,5,4,4,1,1,1,16,210,,2:28.57,16分音符こそ少ないが大体同時押しがついている。8分音符が刻めればそこまで問題ではない
,FALSE,幽光、1/fのゆらめき,,,,,29.3+,5,4,4,1,1,1,16,193,,1:27.98,終盤の16分5打(ラスト同時押し)が少し厄介。曲が短くかなり詰めやすいので物量得意な人におすすめ
,FALSE,ファイアダンス,,,ソ,交,29.3+,5,4,3,2,1,1,16,140,,1:23.68,非交互配置がかなり多くしっかり骨のある配置が大部分。ガバキック地帯もゲームでやらせて......
,FALSE,失敗作少女,,,ソ,敷,29.3+,4,3,3,2,2,2,16,120,,1:59.88,全ての要素をバランスよく持っている譜面。間奏の32分→24分→16分がまあまあ脅威。なぜBPM半減...
,FALSE,Surges,,,敷,交,29.3+,6,4,2,1,1,2,16,137,,2:05.94,初期譜面から短ホールド終点要素を取りました！みたいな譜面。地力上げの基盤には適していそう
,FALSE,モニタリング,,,,敷,29.3+,5,3,3,2,1,2,16,132,,2:07.56,裏の音主軸の譜面。最初の敷に初見を殺された人は数知れず。見たい見たい地帯の片手責めが難関
,FALSE,花結び,,ソ,敷,多,29.3+,5,3,3,2,1,2,16,180,,1:58.50,12分→16分のリズムが定期的に登場するほか、しっかり局所的に物量があり冷静な対処が必要
,FALSE,バレリーコ,,,,敷,29.3+,5,3,2,2,2,2,16,150,,2:03.60,4k配置が結構多めで最近の29では体感強め。終点フリックが厄介な箇所も何箇所か存在している
,FALSE,好き！雪！本気マジック,,,敷,交,29.3+,4,3,3,2,2,2,16,167,◎,1:59.30,あまり作譜に時間がかけられなかったように見受けられるが、その分24分が多く絡み地味にキツい
,FALSE,プロポーズ,,ソ,敷,多,29.3+,5,4,2,2,1,2,16,126,,2:07.86,32分が多すぎてワロタ！激しすぎるプロポーズ。ソフランの使い方が解釈一致で本当に嬉しい
,FALSE,スターナイトスノウ,,,,多,29.3,4,3,4,1,1,2,15,180,◎,1:56.67,サビ以降急に同時押しが絡む12分で急にギアを上げてくる。安定したら結構フィジカルついてるかも
,FALSE,鎖の少女-Re Alive-,,,ソ,交,29.3,3,3,4,2,2,1,15,100-135,,2:08.12,譜面が本当に神とされている。ギターソロ地帯における難所やリズム難、演出のバランスがよく楽しい
,FALSE,透過する温度,,,,敷,29.3,3,3,4,2,1,2,15,100,◎,1:48.00,低速ハネリズムで、非交互配置や右手責め配置など、音ゲーに慣れてないと対処しづらい譜面も
,FALSE,QUEEN,,,,ソ,29.3,4,3,1,2,2,3,15,170,,2:18.71,ソフランはMV再現説があるらしい。KINGリスペクトの譜面がちゃんと厄介で難しいがそれ以外は素直
,FALSE,金木犀,,,,,29.3,2,3,2,3,3,2,15,123,◎,2:00.73,低速ハネを基調としておりたまに16分音符がいる。そこまで印象的な配置はないが、終点に注意
,FALSE,39,,,,,29.3,2,2,5,2,2,2,15,175,,2:18.69,これまた3月9日に追加。ラスサビ前のスライドギミックが印象的。最後の小粒4kはバカムズい
,FALSE,Henceforth,,,,ソ,29.3,4,3,2,2,2,2,15,158,,2:00.00,Aメロの音の取りすぎ感は否めない。終盤にはしっかり小粒連打が降ってくる。ラスサビの入りいいよね
,FALSE,神っぽいな,,ソ,敷,交,29.3,3,3,2,4,1,2,15,142,,2:24.93,キラピピ以来の3ギミック譜面。交差を嫌うなら終点フリックしてない指で始点を取るのがおすすめ
,FALSE,転生林檎,,,,,29.3,4,4,2,2,1,2,15,145,,1:50.48,少しだけリズムが難しい配置が存在するが基本的に曲にノれば叩ける。スライドが特徴的
,FALSE,雨とペトラ,,,,,29.3,4,4,2,2,2,1,15,195,,2:00.15,シンプルに速く地力が試される譜面。ギター地帯のカクカクスライドは放置でOK！
,FALSE,フューエル,,,,ソ,29.3,3,3,3,2,2,2,15,156,,1:36.73,サビ前のスライドがプロセカ一カッコいいと俺の中で話題。ほんの少し覚える配置もあるので注意
,FALSE,フィラメントフィーバー,,,,ソ,29.3,3,3,3,3,1,2,15,114-229,◎,1:48.89,またまたソフランで遊びにきた。バカ速スライドをなぞるのが楽しい。基本BPMは134
,FALSE,アイリッド,,,,敷,29.3,2,4,2,3,1,3,15,124,◎,1:56.15,かなりトレースノーツ絡みの配置が難しいかつ絶妙な見づらさを誇る。低速ハネなのもかなりキツい
,FALSE,透明なパレット,,,敷,多,29.3,2,3,3,2,1,4,15,210,,1:45.30,あのトレースノーツ往復が、本当に慣れないと厳しい...！！！！マジで技4実装を決心する契機に...
,FALSE,スター,,,,交,29.3,4,4,2,1,2,2,15,143,,1:40.17,曲の青春感がエグくて最高。譜面については終点直後のフリックが結構厄介だったりする
,FALSE,メインキャラクター,,,,敷,29.3,3,5,2,2,1,2,15,192,,1:49.84,基本的には8分音符を基調とした譜面。片手責め配置にていかにリズムをキープできるかが鍵
,FALSE,FUN!!,,,,敷,29.3(↑)-,3,3,3↑,2,1,3,15,186,,1:30.32,力量はそこまで要らないが、サビのキティフリックの対処法が分かれる。サビ前の同時→16分はムズい
,FALSE,㋰責任集合体,,ソ,敷,多,29.2+,4,3,2,2,1,2,14,135,,1:57.35,最初の文字どうやって出すの？擬似5点終点フリックマジで最高です本当にありがとうございます
,FALSE,マリオネットダンサー,,,,ソ,29.2+,3,3,2,2,2,2,14,112,◎,2:00.54,1箇所かなりの初見殺しがある。かなり打数多めの24分音符が散見されるのでリズムキープ面が試される
,FALSE,リモコン,,,,,29.2+,2,3,2,1,3,3,14,165,,2:07.82,12分割ノーツがあまりにも多すぎる！特に→の始点は少し認識しづらいため注意。他は素直
,FALSE,レグルス,,,,敷,29.2+,3,3,2,1,2,3,14,146,,2:02.05,少しリズムが難しかったりラストの方向指定フリックが厄介だったりする。腐食はなぜか沼った
,FALSE,結ンデ開イテ羅刹ト骸,,ソ,敷,多,29.2+,3,3,1,4,1,2,14,169.33,◎,1:59.06,「入り手が変わる」配置ではしっかりその誘導に乗り続けないと詰む配置がある。BPMナニコレ......
,FALSE,Fire◎Flower (Rerec),,,,ソ,29.2+,3,3,2,2,2,2,14,153-175,,1:36.25,花火演出、再来！収録の告知がサプライズすぎてビックリした記憶。新レギュ特有の見にくさはある
,FALSE,このふざけた素晴らしき世界は、僕の為にある,,,,,29.2+,3,3,3,2,2,1,14,152,,1:57.24,サビの後半で急激な地力を要求される。それ以外は比較的素直な譜面。曲名の欄に収まって助かった
,FALSE,深海シティアンダーグラウンド,,,ソ,敷,29.2+,3,3,2,2,1,3,14,170,,2:00.18,ポピキャンの練習譜面(w/ 認識難)がサビに飛んでくるほか、前半は最低限地力が必要となる
,FALSE,アイ,,,,敷,29.2+,4,4,2,1,1,2,14,192,,1:44.22,ラムネと同BPMかつ、トレースによる横移動が激しい部分もある。基礎地力があればなんとかなる！
,FALSE,カラフルファンデーション,ソ,敷,交,多,29.2+,4,3,3,1,1,2,14,168,,1:48.57,今期唯一のギミックコンプリート譜面で、その曲名に恥じぬ譜面。腐食はインストの理解に苦しんだ...
,FALSE,あなたしか見えないの,,,ソ,敷,29.2,3,3,3,1,2,1,13,150,,2:02.00,黄色ロングの上にトレース→終点、不自然な誘導、行かない。ちょこちょこ認識難likeの連打もある
,FALSE,アリア,,,,敷,29.2,3,1,4,3,1,1,13,135,◎,1:46.96,本当にこの発想を思い浮かべた人に拍手を送りたい。一番正しい擬似始点フリックの使い方だと思う
,FALSE,とびだせ！わんだぴょい,,敷,交,多,29.2,2,3,2,2,2,2,13,140,▲,1:57.86,たまにハネる。スライド絡みの演出が多いが、終点も絡んだりと地味にイヤな配置が多いので注意
,FALSE,偽物人間40号,,,ソ,敷,29.2,4,3,2,1,1,2,13,112,◎,2:01.88,虚無さんに続きかなり演出が暴れ回っている譜面。このBPMと難易度を考慮すると結構微縦連が辛い
,FALSE,吉原ラメント 再来盤,,,,敷,29.2,3,2,2,2,2,2,13,192,◎,2:11.15,最近の曲にしてはめちゃくちゃ曲の長さが頑張ってる。結構12分微縦連が重いので腕を慣らそう
,FALSE,虚無さん,,,ソ,敷,29.2,3,1,2,3,2,2,13,115,,1:29.74,「ニヒルさん」。トレースフリックめちゃくちゃ暴れてる。曲が急に終わるのでまあまあびっくりする
,FALSE,えれくとりっく・えんじぇぅ,,,,,29.2,2,3,2,2,2,2,13,150,,2:00.40,俺らの青春。順当に楽しい譜面。24分が混じっていたり3周年以降のギミックもあったりで要素が豊富
,FALSE,コールボーイ,,,,交,29.2,3,2,2,3,1,2,13,109,◎,1:59.45,低速ハネの基礎に24分連打で少し肉付けをしたような譜面。最後だけ交差配置があるのはなぜ...？
,FALSE,アコトバ,,ソ,敷,多,29.2,2,1,5,3,0,2,13,125,,2:06.24,ギミック譜面は見掛け倒しなため定数が低くなりがち。一応32分はBPM250の16分相当なので注意
,FALSE,初めての恋が終わる時,,,,ソ,29.2,3,3,2,2,1,2,13,100-180,,2:05.88,曲の特性を活かしたソフランが印象的。減速8分の1小節目はBPMが変わっていないので意識しよう
,FALSE,マーシャル・マキシマイザー,,,,,29.2,3,4,3,1,1,1,13,190,,1:28.26,190というBPMはあるが譜面は非常に単調なので、物量譜面が苦手な人には練習にオススメかも
,FALSE,おどロボ,,,ソ,敷,29.2,3,2,2,1,2,3,13,145,,2:38.90,さまざまなお遊び要素があってめちゃくちゃ面白い。24分なども出てきてちゃんと難しい部分もある
,FALSE,花弁、それにまつわる音声,,ソ,敷,多,29.2,2,2,2,2,3,2,13,108,◎,2:05.28,落ちサビの「多」ギミックがかなり美しい。何より本当に曲がカッコよすぎるので一度はやろう
,FALSE,ドリーム・キス,,,,ソ,29.1+,4,4,2,1,0,1,12,117,,1:54.87,ほぼ全てがタップノーツという振り切った譜面。乱打譜面の基礎をつけるのにはピッタリかも？
,FALSE,リリィララ,,,,ソ,29.1+,3,2,2,3,1,1,12,130,,1:58.62,「スライド始点の先を見据える」ことが非常に大事になる譜面。目線を普段より少し上げてみよう
,FALSE,UNDERWATER,,,,,29.1+,2,1,3,3,2,1,12,145,,2:25.24,縦連地帯→2連縦連連続地帯が本当にビックリポイント。あとは油断しなければどうにかなる
,FALSE,CRASH THE PARTY,,,,,29.1+,2,2,4,1,1,2,12,162,,1:52.59,スライドの動き以外かなり平凡な譜面。フューエルの引用よかったしその直前がちょっとムズい
,FALSE,erase or zero,,,,交,29.1,2,2,2,2,2,1,11,136,,2:00.44,中盤の非交差誘導があまりにも素晴らしい。ラストだけ認識難があるが、交互押し+フリック意識でOK
,FALSE,About me,,,敷,交,29.1,3,3,2,1,1,1,11,134,,2:07.05,悪役みたいに間奏もう少し頑張っていたら局所難で天下だったか...！落ちサビだけ日本語なのマジで神
,FALSE,テトリス,,,ソ,交,29.1,2,2,3,1,1,2,11,170,,1:28.24,後半に取ってつけたようにくの字が飛んでくる。前半は曲通り少しノーツ数が詰まっている
,FALSE,はぐ,,,,,29.1,1,2,2,1,3,2,11,120,◎,2:04.17,低速ハネにしては認識難がほとんどなく非常に素直。プロセカで一番いい曲と俺の中で話題
,FALSE,はしる! とおく! とどく!,,,ソ,交,29.1,2,2,3,1,1,2,11,182,,1:43.19,ギミックこそ素直じゃないが、16分音符がめちゃくちゃ少ない。フリック混じりの16分には注意
,FALSE,NEO,,,,ソ,29.1,2,3,3,1,1,1,11,190,,1:55.11,新要素がかなりふんだんに使われているので慣れよう。記念楽曲ということで29の中ではやりやすい
,FALSE,惑星ループ,,,ソ,敷,29.0+,1,2,2,1,2,2,10,170,,2:03.53,"""MASTER譜面""に慣れていないと苦しいが、取り方がわかってしまえばこっちのモン。「あー」←www"
,FALSE,ハウトゥー世界征服,,ソ,敷,交,29.0+,3,2,2,1,1,1,10,151,,1:56.03,待望の収録。アウトロの配置が適正者ができるかが諸説あるが、まあ逆詐称気味かなぁ......
,FALSE,Cool Me Down,,,,敷,29.0+,2,2,2,2,1,1,10,174,,2:22.07,3点押しにも見える異質な配置や重なって見える始点など特徴が多い。曲が、良すぎる
,FALSE,ラムネ,,,,ソ,29.0,2,2,2,1,1,1,9,192,,2:04.92,配信で腐食が絶句したのがハイライト。16分→同時自体は速いが、あまりにやることが少なく......
28,FALSE,トラフィック・ジャム,,,,,28.9+,10,5,3,2,5,2,27,130,,2:03.69,何があって収録が遅れたのか...ジャンキーの劣化や短ホールドが多いなど交通渋滞並の複雑さ
,FALSE,フラジール,,,,,28.9,8,5,3,3,5,2,26,127,,2:00.71,28だ28だと言われ続けついに、それも28.9にまで昇り詰めた。終点が苦手だとなおさら苦しい譜面
,FALSE,Color of Drops,,,,,28.9,10,6,4,1,4,1,26,152,,1:47.76,終点と鍵盤配置がありえない。サビでは片手責めもなかなかにエグいのでゲシュタルト崩壊にも注意
,FALSE,乙女解剖,,,,,28.8+,9,6,3,2,3,2,25,134,,1:47.91,なかなかのゴリ押し力が求められる譜面となっている。曲に合わせた12分にも注意
,FALSE,トキヲ・ファンカ,,,,,28.8+,10,6,3,1,3,2,25,96-120,,1:42.88,譜面がシンプルに楽しい。リズム面ではかなりの難しさを誇る。ラストはフリックのリズムを意識
,FALSE,Forward,,,,,28.8,7,5,3,3,4,2,24,140,,1:47.46,認識難のインパクトこそ薄れたが、時間が経つにつれ片手地力や終点のほうが評価されるようになった...
,FALSE,Un-Lock,,,,,28.8,9,5,4,2,2,2,24,130,,2:11.08,地力主体の譜面だが、後半などの癖の強い配置や、24分32分には注意を払う必要がある
,FALSE,抜錨,,,,,28.8,7,7,3,4,2,1,24,140,◎,1:59.14,廉価版ももいろの鍵。縦連を交互で押すなどゴリ押しが苦手な人は一工夫するといいかもしれない
,FALSE,ウミユリ海底譚,,,,,28.7+,8,4,3,2,4,2,23,120,,1:39.50,5鍵は4つだけ交互で取る(例:右左右左左)を推奨してます。サビのフリックもかなり難しい
,FALSE,ワールドワイドワンダー,,,,,28.7+,9,5,4,2,1,2,23,142,,1:31.06,このBPMで多くの地力配置が降ってくるので、指押しの練習にはかなり適している
,FALSE,心予報,,,,,28.7+,7,5,4,2,3,2,23,143,,2:08.81,全体的に少しコシのある配置を散りばめた感じの譜面。Eve曲って似通ったリズムが多いよな
,FALSE,僕らまだアンダーグラウンド,,,,,28.7+,7,5,5,2,3,1,23,148,,1:58.38,前半がちょっと忙しいといった感じの譜面。最後のロングノーツが長く無反応が怖すぎる
,FALSE,とても痛い痛がりたい,,,,,28.7+,7,5,3,4,2,2,23,140,,1:49.29,極論ただのトリルが多い譜面。2-2で取る配置や縦連などもしっかり処理するのが求められる
